longitude,latitude,depth,dist_to_land,avg_wave_height,ncf,lcoe,substructure,capacity,fixed_bottom,net_value,avg_wind_speed,score
-79.9832,28.6362,173.93,57.6,1.36,0.38,137,Semi,0.28,False,-92.0,7.25,-34.96
-79.8748,28.6198,330.33,65.58,1.36,0.38,138,Semi,0.28,False,-94.0,7.25,-35.72
-79.7664,28.6033,491.45,73.62,1.4,0.38,142,Semi,0.28,False,-98.0,7.25,-37.24
-79.658,28.5866,721.34,81.89,1.46,0.38,149,Semi,0.33,False,-105.0,7.25,-39.9
-79.5497,28.5699,789.81,90.17,1.46,0.38,151,Semi,0.33,False,-107.0,7.25,-40.660000000000004
-79.4414,28.5531,811.91,96.31,1.46,0.38,155,Semi,0.33,False,-110.0,7.25,-41.8
-79.3332,28.5361,821.33,99.44,1.46,0.37,158,Semi,0.33,False,-114.0,7.25,-42.18
-79.225,28.519,834.46,102.57,1.5,0.37,160,Semi,0.33,False,-116.0,7.25,-42.92
-79.1168,28.5019,841.09,106.54,1.52,0.37,161,Semi,0.33,False,-117.0,7.25,-43.29
-79.0087,28.4846,837.17,110.96,1.52,0.37,162,Semi,0.33,False,-117.0,7.25,-43.29
-78.9007,28.4672,850.06,115.56,1.52,0.37,163,Semi,0.33,False,-118.0,7.25,-43.66
-78.7926,28.4497,871.17,121.67,1.52,0.37,164,Semi,0.33,False,-119.0,7.25,-44.03
-78.6847,28.4321,905.42,128.12,1.56,0.37,166,Semi,0.33,False,-121.0,7.25,-44.769999999999996
-78.5767,28.4144,929.78,134.88,1.56,0.37,168,Semi,0.33,False,-123.0,7.25,-45.51
-78.4689,28.3965,956.84,142.6,1.56,0.37,168,Semi,0.33,False,-124.0,7.25,-45.88
-78.361,28.3786,987.23,150.38,1.56,0.37,171,Semi,0.33,False,-126.0,7.25,-46.62
-80.5004,28.8156,20.45,30.64,0.94,0.36,126,Monopile,0.28,True,-82.0,6.75,-29.52
-80.3994,28.7968,22.07,36.14,0.93,0.37,128,Monopile,0.28,True,-83.0,7.25,-30.71
-80.2907,28.7808,32.77,43.25,0.93,0.37,133,Jacket,0.28,True,-89.0,7.25,-32.93
-80.182,28.7648,50.59,50.88,1.39,0.37,139,Semi,0.28,False,-94.0,7.25,-34.78
-80.0734,28.7486,92.36,58.47,1.38,0.37,138,Semi,0.28,False,-94.0,7.25,-34.78
-79.9647,28.7322,228.55,65.65,1.38,0.38,138,Semi,0.28,False,-94.0,7.25,-35.72
-79.8562,28.7158,382.68,72.72,1.37,0.38,140,Semi,0.28,False,-96.0,7.25,-36.480000000000004
-79.7476,28.6993,576.55,80.07,1.41,0.38,144,Semi,0.28,False,-100.0,7.25,-38.0
