wfarm_id,Longitude,Latitude,reeds_region,Depth,Dist_S_to_L,Hs_Average,NCF,LCOE,type_min_lcoe,capacity,isfixed,State,LACE,Net value,Wind speed
4714,-69.1060,43.6001,356,127.49,24.53,1.19,0.59,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
3812,-70.4210,41.2667,349,20.28,12.69,0.69,0.58,83,Monopile,0.22,TRUE,Massachusetts,93,10,9.0 - 9.5
4790,-68.0520,43.7782,356,166.29,35.69,1.21,0.61,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4817,-68.1029,43.9912,356,102.68,24.91,1.17,0.59,83,Semi,0.22,FALSE,Maine,93,10,9.5 - 10.0
3773,-70.8307,41.2500,349,18.95,2.12,0.99,0.56,83,Monopile,0.22,TRUE,Massachusetts,93,10,9.0 - 9.5
7566,-81.5473,41.6420,234,11.72,0.70,0.47,0.49,83,Monopile,0.22,TRUE,Ohio,55,-28,8.0 - 8.5
4757,-68.2582,43.6211,356,183.83,33.22,1.35,0.61,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4718,-68.5917,43.4913,356,138.29,39.22,1.31,0.61,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4717,-68.7201,43.5187,356,135.80,36.72,1.28,0.61,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
3573,-71.9951,40.9780,342,18.34,1.49,0.84,0.55,83,Monopile,0.22,TRUE,New York,86,3,8.5 - 9.0
3929,-69.8161,41.4414,349,15.98,27.40,0.71,0.59,83,Monopile,0.28,TRUE,Massachusetts,93,10,9.0 - 9.5
3996,-70.3673,41.7685,349,14.39,2.59,0.49,0.54,83,Monopile,0.19,TRUE,Massachusetts,93,10,7.5 - 8.0
3492,-72.3096,40.8415,342,24.93,0.00,0.42,0.57,83,Jacket,0.22,TRUE,New York,86,3,9.0 - 9.5
4829,-68.3201,44.1390,356,34.59,3.73,0.94,0.56,83,Jacket,0.19,TRUE,Maine,93,10,8.5 - 9.0
4891,-67.4758,44.4601,356,64.52,24.66,0.71,0.59,83,Semi,0.22,FALSE,Maine,93,10,9.0 - 9.5
4716,-68.8486,43.5459,356,130.12,34.93,1.19,0.60,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4740,-68.2967,43.5286,356,179.57,38.83,1.32,0.61,83,Semi,0.28,FALSE,Maine,93,10,10.0 - 10.5
3845,-70.8900,41.4630,348,14.54,0.00,0.62,0.52,83,Monopile,0.19,TRUE,Massachusetts,104,21,8.5 - 9.0
3817,-69.7971,41.1372,349,17.24,12.96,1.44,0.58,83,Monopile,0.28,TRUE,Massachusetts,93,10,9.5 - 10.0
4785,-68.6968,43.9167,356,76.44,15.03,0.90,0.57,83,Semi,0.22,FALSE,Maine,93,10,9.0 - 9.5
7956,-87.5425,44.1081,197,19.22,8.60,0.57,0.53,83,Monopile,0.22,TRUE,Wisconsin,53,-30,8.0 - 8.5
4719,-68.4634,43.4637,356,168.39,43.10,1.31,0.62,83,Semi,0.28,FALSE,Maine,93,9,10.0 - 10.5
4693,-69.1434,43.5074,356,141.10,31.18,1.19,0.60,83,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4715,-68.9773,43.5731,356,115.24,32.42,1.19,0.60,83,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4695,-68.8864,43.4533,356,109.08,41.82,1.19,0.61,83,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4735,-68.9396,43.6658,356,95.63,28.54,1.19,0.59,83,Semi,0.22,FALSE,Maine,93,9,9.5 - 10.0
4804,-68.0130,43.8706,356,171.44,35.69,1.17,0.60,83,Semi,0.22,FALSE,Maine,93,9,9.5 - 10.0
4671,-69.3092,43.4415,356,157.56,33.63,1.06,0.60,83,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4694,-69.0148,43.4804,356,130.92,37.47,1.19,0.60,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
5127,-97.2820,26.6179,174,7.34,25.98,1.19,0.51,84,Monopile,0.19,TRUE,Texas,50,-33,8.0 - 8.5
4830,-68.1932,44.1117,356,62.54,14.13,1.15,0.57,84,Semi,0.22,FALSE,Maine,93,9,9.0 - 9.5
3780,-69.9568,41.0706,349,21.22,6.33,1.42,0.58,84,Monopile,0.28,TRUE,Massachusetts,93,9,9.5 - 10.0
3808,-70.9216,41.3677,348,24.75,0.00,0.62,0.55,84,Monopile,0.22,TRUE,Massachusetts,104,20,9.0 - 9.5
3771,-71.0809,41.3002,348,33.58,2.92,0.63,0.57,84,Jacket,0.22,TRUE,Massachusetts,103,20,9.0 - 9.5
3891,-69.7265,41.3225,349,17.22,18.09,1.17,0.59,84,Monopile,0.28,TRUE,Massachusetts,93,9,9.5 - 10.0
7488,-82.4981,41.4483,234,10.32,1.13,0.38,0.47,84,Monopile,0.22,TRUE,Ohio,55,-29,7.0 - 7.5
4696,-68.7580,43.4260,356,108.05,45.92,1.24,0.61,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4774,-68.0910,43.6857,356,171.56,37.81,1.39,0.61,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
3892,-69.6017,41.2961,349,21.33,9.04,1.39,0.59,84,Monopile,0.28,TRUE,Massachusetts,93,9,9.5 - 10.0
4720,-68.3352,43.4361,356,174.07,47.03,1.31,0.62,84,Semi,0.28,FALSE,Maine,93,9,10.0 - 10.5
3854,-69.7619,41.2298,349,18.15,15.46,1.34,0.58,84,Monopile,0.28,TRUE,Massachusetts,93,9,9.5 - 10.0
4901,-67.0753,44.4658,356,75.26,17.02,0.97,0.57,84,Semi,0.22,FALSE,Maine,93,9,10.0 - 10.5
7489,-82.3777,41.4496,234,9.25,1.73,0.38,0.47,84,Monopile,0.22,TRUE,Ohio,55,-29,7.5 - 8.0
7540,-81.6926,41.5591,234,12.07,0.00,0.47,0.47,84,Monopile,0.22,TRUE,Ohio,55,-29,7.5 - 8.0
4831,-68.0638,44.0837,356,101.28,24.91,1.17,0.58,84,Semi,0.22,FALSE,Maine,93,9,9.0 - 9.5
4818,-67.9739,43.9631,356,154.96,35.66,1.17,0.60,84,Semi,0.22,FALSE,Maine,93,9,9.5 - 10.0
4782,-69.0806,43.9953,356,17.99,7.46,0.54,0.53,84,Monopile,0.19,TRUE,Maine,93,9,8.0 - 8.5
7747,-86.2532,42.8545,212,20.18,1.09,0.60,0.51,84,Monopile,0.22,TRUE,Michigan,58,-26,8.5 - 9.0
4674,-68.9240,43.3606,356,123.22,49.00,1.19,0.61,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4670,-69.4378,43.4682,356,149.61,30.18,1.05,0.59,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4758,-68.1298,43.5932,356,186.31,41.88,1.39,0.61,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4832,-67.9346,44.0556,356,104.64,34.73,1.17,0.59,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
7901,-87.6926,43.8288,198,15.19,0.64,0.66,0.51,84,Monopile,0.22,TRUE,Wisconsin,50,-34,7.0 - 7.5
4673,-69.0523,43.3877,356,154.47,43.07,1.19,0.61,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
3616,-71.4643,40.9776,345,49.29,1.97,1.25,0.57,84,Semi,0.28,FALSE,Rhode Island,104,19,9.0 - 9.5
4672,-69.1807,43.4146,356,159.77,38.24,1.19,0.60,84,Semi,0.28,FALSE,Maine,93,9,9.5 - 10.0
4697,-68.6297,43.3987,356,137.43,49.73,1.31,0.61,84,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
7487,-82.6199,41.4678,234,6.65,1.34,0.35,0.47,84,Monopile,0.22,TRUE,Ohio,55,-29,7.5 - 8.0
3815,-70.0464,41.1894,349,16.73,12.35,1.42,0.57,84,Monopile,0.22,TRUE,Massachusetts,93,9,9.0 - 9.5
5196,-97.2895,27.0107,174,18.84,27.58,1.20,0.53,84,Monopile,0.19,TRUE,Texas,50,-34,8.5 - 9.0
4741,-68.1685,43.5008,356,179.08,46.11,1.39,0.61,84,Semi,0.28,FALSE,Maine,93,8,10.0 - 10.5
5431,-97.1814,27.5979,174,9.41,33.36,1.12,0.51,84,Monopile,0.19,TRUE,Texas,50,-34,8.0 - 8.5
4805,-67.8842,43.8425,356,179.55,46.47,1.17,0.61,84,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
4884,-67.5172,44.3688,356,79.32,30.94,0.71,0.59,84,Semi,0.22,FALSE,Maine,93,8,9.0 - 9.5
3781,-69.8323,41.0445,349,20.10,14.44,1.42,0.59,85,Monopile,0.28,TRUE,Massachusetts,93,8,9.5 - 10.0
4791,-67.9234,43.7501,356,183.91,46.47,1.28,0.61,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
2888,-74.7088,39.0067,332,12.21,0.00,0.95,0.50,85,Monopile,0.22,TRUE,New Jersey,75,-9,8.0 - 8.5
4675,-68.7958,43.3334,356,116.09,55.07,1.21,0.61,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
7611,-81.3706,41.8110,234,16.87,0.02,0.56,0.49,85,Monopile,0.22,TRUE,Ohio,55,-30,8.0 - 8.5
7461,-87.4315,41.6887,206,6.32,3.41,0.40,0.50,85,Monopile,0.19,TRUE,Illinois,57,-28,7.0 - 7.5
4698,-68.5016,43.3712,356,176.98,52.96,1.31,0.62,85,Semi,0.28,FALSE,Maine,93,8,10.0 - 10.5
3532,-72.1513,40.9086,342,23.02,1.86,0.84,0.56,85,Monopile,0.22,TRUE,New York,86,2,8.5 - 9.0
4898,-67.4365,44.5526,356,27.55,14.85,0.71,0.57,85,Jacket,0.22,TRUE,Maine,93,8,8.0 - 8.5
4845,-68.0247,44.1762,356,78.15,24.91,1.17,0.57,85,Semi,0.22,FALSE,Maine,93,8,9.0 - 9.5
4875,-67.4278,44.2478,356,196.95,40.69,0.99,0.60,85,Semi,0.28,FALSE,Maine,93,8,9.5 - 10.0
8012,-83.3570,43.9709,218,6.29,12.74,0.32,0.50,85,Monopile,0.22,TRUE,Michigan,57,-28,8.0 - 8.5
7477,-87.5502,41.8818,206,9.81,1.51,0.44,0.51,85,Monopile,0.22,TRUE,Illinois,57,-28,7.0 - 7.5
4916,-66.9554,44.7524,356,75.27,0.13,0.52,0.53,85,Semi,0.22,FALSE,Maine,93,8,9.0 - 9.5
